machine_no,machine_name,machine_category,machine_class,code
1,T-12コネクタージョイント機,slide_hinge,1,CAS0050
1,T-12コネクタージョイント機,slide_hinge,1,CAS0051
2,HR-KNランナー全自動車軸カシメ機,hanging_roller,1,CDI0272
2,HR-KNランナー全自動車軸カシメ機,hanging_roller,1,CDI0463
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0015
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0016
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0024
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0031
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0033
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0034
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0035
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0036
5,HR-290着脱ホルダー自動組立機,hanging_roller,1,CDP0039
6,FA-1000組立機,door_roller,1,CCP0035
6,FA-1000組立機,door_roller,1,CCP0036
6,FA-1000組立機,door_roller,1,CCP0037
6,FA-1000組立機,door_roller,1,CCP0038
6,FA-1000組立機,door_roller,1,CCP0040
6,FA-1000組立機,door_roller,1,CCP0030
7,HD-35自動組立機,hinge,2,CBP0061
7,HD-35自動組立機,hinge,2,CBP0062
7,HD-35自動組立機,hinge,2,CBP0066
7,HD-35自動組立機,hinge,2,CBP0067
8,D丁双(N)組立機,slide_hinge,2,CAS0046
8,D丁双(N)組立機,slide_hinge,2,CAS0047
9,D丁双バネ装着機,slide_hinge,2,CAS0046
9,D丁双バネ装着機,slide_hinge,2,CAS0047
10,T-12組立専用機,slide_hinge,1,CAP0043
10,T-12組立専用機,slide_hinge,1,CAP0044
10,T-12組立専用機,slide_hinge,1,CAS0103
10,T-12組立専用機,slide_hinge,1,CAS0260
10,T-12組立専用機,slide_hinge,1,CAP0047
10,T-12組立専用機,slide_hinge,1,CAP0048
10,T-12組立専用機,slide_hinge,1,CAS0268
10,T-12組立専用機,slide_hinge,1,CAS0269
11,HR用ベアリング組立機,hanging_roller,1,CDP0006
11,HR用ベアリング組立機,hanging_roller,1,CII0001
12,CR(CRT)100兼用組立機,slide_hinge,2,CAP0047
12,CR(CRT)100兼用組立機,slide_hinge,2,CAP0048
12,CR(CRT)100兼用組立機,slide_hinge,2,CAS0268
12,CR(CRT)100兼用組立機,slide_hinge,2,CAS0269
12,CR(CRT)100兼用組立機,slide_hinge,2,CAS0103
12,CR(CRT)100兼用組立機,slide_hinge,2,CAS0260
13,スライド丁番Uピンカシメ抜け止め治具,slide_hinge,2,CAP0047
